customer_id,company_name,industry,team_size_bucket,plan_tier,signup_date,date,mrr,cac,ltv,nps_score,is_active,is_new,is_churned
17,"Green Analytics",E-Commerce,11-50,Starter,2023-01-01,2023-01-01,127.15,157,2472,5,1,1,0
44,"Clear Works",SaaS,11-50,Growth,2023-01-01,2023-01-01,709.86,545,23892,7,1,1,0
86,"Fast Hub",EdTech,11-50,Starter,2023-01-01,2023-01-01,151.9,147,2988,6,1,1,0
89,"Core Hub",E-Commerce,11-50,Starter,2023-01-01,2023-01-01,200.09,145,3899,6,1,1,0
91,"Peak Hub",E-Commerce,11-50,Growth,2023-01-01,2023-01-01,903.68,652,31023,7,1,1,0
114,"Apex Base",E-Commerce,11-50,Starter,2023-01-01,2023-01-01,68.22,159,1362,5,1,1,0
121,"Quick Flow",SaaS,200+,Enterprise,2023-01-01,2023-01-01,6151.31,2803,418187,7,1,1,0
134,"Apex Flow",SaaS,1-10,Starter,2023-01-01,2023-01-01,191.84,171,3751,6,1,1,0
17,"Green Analytics",E-Commerce,11-50,Starter,2023-01-01,2023-02-01,125.14,157,2472,7,1,0,0
25,"Bright Labs",SaaS,11-50,Growth,2023-02-01,2023-02-01,350.76,539,11926,8,1,1,0
44,"Clear Works",SaaS,11-50,Growth,2023-01-01,2023-02-01,737.3,545,23892,6,1,0,0
50,"Edge Works",SaaS,11-50,Growth,2023-02-01,2023-02-01,912.2,619,29927,6,1,1,0
58,"Zen Works",E-Commerce,51-200,Growth,2023-02-01,2023-02-01,683.14,664,22477,8,1,1,0
66,"Fast Tech",EdTech,1-10,Starter,2023-02-01,2023-02-01,162.8,129,3267,6,1,1,0
86,"Fast Hub",EdTech,11-50,Starter,2023-01-01,2023-02-01,148.13,147,2988,7,1,0,0
89,"Core Hub",E-Commerce,11-50,Starter,2023-01-01,2023-02-01,191.03,145,3899,6,1,0,0
91,"Peak Hub",E-Commerce,11-50,Growth,2023-01-01,2023-02-01,931.26,652,31023,6,1,0,0
